worker_id	segment	warmup	trial	stimulus	target	delay	correct	response	rt	addend1	addend2	addend1_s	addend2_s	calib_rt	keyboard	adjusted_rt
AC5FF0SJI0RXM	add2	False	126	1+0	1	420	True	1	721	1	0	01	00	565.6666666666666	numbar	155.33333333333337
AC5FF0SJI0RXM	add2	False	27	0+1	1	625	True	1	734	0	1	00	01	565.6666666666666	numbar	168.33333333333337
AC5FF0SJI0RXM	add2	False	127	3+0	3	593	True	3	1088	3	0	03	00	1034.5	numbar	53.5
AC5FF0SJI0RXM	add2	False	144	0+3	3	469	True	3	956	0	3	00	03	1034.5	numbar	-78.5
AC5FF0SJI0RXM	add2	False	117	2+1	3	880	True	3	1050	2	1	02	01	1034.5	numbar	15.5
AC5FF0SJI0RXM	add2	False	67	1+2	3	482	True	3	2627	1	2	01	02	1034.5	numbar	1592.5
AC5FF0SJI0RXM	add2	False	129	8+4	12	922	True	12	3108	8	4	08	04	759.5	numbar	2348.5
AC5FF0SJI0RXM	add2	False	19	11+1	12	503	True	12	2158	11	1	11	01	759.5	numbar	1398.5
AC5FF0SJI0RXM	add2	False	34	5+7	12	621	True	12	3698	5	7	05	07	759.5	numbar	2938.5
AC5FF0SJI0RXM	add2	False	68	3+9	12	867	True	12	1203	3	9	03	09	759.5	numbar	443.5
AC5FF0SJI0RXM	add2	False	130	6+6	12	988	True	12	1347	6	6	06	06	759.5	numbar	587.5
AC5FF0SJI0RXM	add2	False	26	1+11	12	658	True	12	2346	1	11	01	11	759.5	numbar	1586.5
AC5FF0SJI0RXM	add2	False	63	9+3	12	810	True	12	1231	9	3	09	03	759.5	numbar	471.5
AC5FF0SJI0RXM	add2	False	71	10+2	12	927	True	12	1750	10	2	10	02	759.5	numbar	990.5
AC5FF0SJI0RXM	add2	False	80	0+12	12	978	True	12	967	0	12	00	12	759.5	numbar	207.5
AC5FF0SJI0RXM	add2	False	122	12+0	12	778	True	12	1045	12	0	12	00	759.5	numbar	285.5
AC5FF0SJI0RXM	add2	False	145	4+8	12	751	True	12	3979	4	8	04	08	759.5	numbar	3219.5
AC5FF0SJI0RXM	add2	False	13	9+10	19	588	True	19	1654	9	10	09	10	671.0	numbar	983.0
AC5FF0SJI0RXM	add2	False	24	3+16	19	870	True	19	1578	3	16	03	16	671.0	numbar	907.0
AC5FF0SJI0RXM	add2	False	58	8+11	19	815	True	19	1475	8	11	08	11	671.0	numbar	804.0
AC5FF0SJI0RXM	add2	False	7	0+19	19	710	True	19	1371	0	19	00	19	671.0	numbar	700.0
AC5FF0SJI0RXM	add2	False	80	19+0	19	700	True	19	1178	19	0	19	00	671.0	numbar	507.0
AC5FF0SJI0RXM	add2	False	88	5+14	19	755	True	19	1350	5	14	05	14	671.0	numbar	679.0
AC5FF0SJI0RXM	add2	False	122	13+6	19	486	True	19	1288	13	6	13	06	671.0	numbar	617.0
AC5FF0SJI0RXM	add2	False	29	15+4	19	854	True	19	1968	15	4	15	04	671.0	numbar	1297.0
AC5FF0SJI0RXM	add2	False	3	1+18	19	474	True	19	1149	1	18	01	18	671.0	numbar	478.0
AC5FF0SJI0RXM	add2	False	5	10+9	19	831	True	19	1484	10	9	10	09	671.0	numbar	813.0
AC5FF0SJI0RXM	add2	False	55	4+15	19	611	True	19	1516	4	15	04	15	671.0	numbar	845.0
AC5FF0SJI0RXM	add2	False	60	12+7	19	833	True	19	1905	12	7	12	07	671.0	numbar	1234.0
AC5FF0SJI0RXM	add2	False	91	11+8	19	507	True	19	1892	11	8	11	08	671.0	numbar	1221.0
